doc_id,grid_row,grid_col,category_name,subset
train_comp_graphics_0151,8,2,comp.graphics,train
train_comp_graphics_0176,2,1,comp.graphics,train
train_comp_graphics_0232,7,0,comp.graphics,train
train_comp_graphics_0280,9,0,comp.graphics,train
train_comp_graphics_0344,8,1,comp.graphics,train
train_comp_graphics_0371,4,2,comp.graphics,train
train_comp_graphics_0506,5,0,comp.graphics,train
train_comp_graphics_0565,3,2,comp.graphics,train
train_comp_graphics_0567,2,0,comp.graphics,train
train_comp_graphics_0577,8,0,comp.graphics,train
train_rec_sport_baseball_0184,0,3,rec.sport.baseball,train
train_rec_sport_baseball_0225,1,4,rec.sport.baseball,train
train_rec_sport_baseball_0282,1,5,rec.sport.baseball,train
train_rec_sport_baseball_0368,6,1,rec.sport.baseball,train
train_rec_sport_baseball_0472,5,1,rec.sport.baseball,train
train_rec_sport_baseball_0518,5,6,rec.sport.baseball,train
train_rec_sport_baseball_0520,6,2,rec.sport.baseball,train
train_rec_sport_baseball_0556,5,2,rec.sport.baseball,train
train_rec_sport_baseball_0588,0,4,rec.sport.baseball,train
train_rec_sport_baseball_0593,0,2,rec.sport.baseball,train
train_sci_med_0084,9,4,sci.med,train
train_sci_med_0097,6,8,sci.med,train
train_sci_med_0191,2,8,sci.med,train
train_sci_med_0192,7,7,sci.med,train
train_sci_med_0216,1,8,sci.med,train
train_sci_med_0229,3,4,sci.med,train
train_sci_med_0271,8,9,sci.med,train
train_sci_med_0395,7,9,sci.med,train
train_sci_med_0402,5,9,sci.med,train
train_sci_med_0563,4,8,sci.med,train
train_sci_space_0007,0,0,sci.space,train
train_sci_space_0087,1,1,sci.space,train
train_sci_space_0133,5,5,sci.space,train
train_sci_space_0314,0,5,sci.space,train
train_sci_space_0336,4,6,sci.space,train
train_sci_space_0347,2,9,sci.space,train
train_sci_space_0440,9,9,sci.space,train
train_sci_space_0493,4,5,sci.space,train
train_sci_space_0570,1,0,sci.space,train
train_sci_space_0592,3,9,sci.space,train
train_talk_politics_misc_0062,4,4,talk.politics.misc,train
train_talk_politics_misc_0063,2,7,talk.politics.misc,train
train_talk_politics_misc_0154,7,4,talk.politics.misc,train
train_talk_politics_misc_0194,0,1,talk.politics.misc,train
train_talk_politics_misc_0195,2,3,talk.politics.misc,train
train_talk_politics_misc_0337,1,7,talk.politics.misc,train
train_talk_politics_misc_0372,4,7,talk.politics.misc,train
train_talk_politics_misc_0388,9,7,talk.politics.misc,train
train_talk_politics_misc_0425,6,3,talk.politics.misc,train
train_talk_politics_misc_0464,6,4,talk.politics.misc,train
test_comp_graphics_0028,2,2,comp.graphics,test
test_comp_graphics_0045,9,3,comp.graphics,test
test_comp_graphics_0130,9,2,comp.graphics,test
test_comp_graphics_0133,8,3,comp.graphics,test
test_comp_graphics_0144,4,0,comp.graphics,test
test_comp_graphics_0202,9,5,comp.graphics,test
test_comp_graphics_0205,3,3,comp.graphics,test
test_comp_graphics_0251,8,4,comp.graphics,test
test_comp_graphics_0371,3,1,comp.graphics,test
test_comp_graphics_0387,9,1,comp.graphics,test
test_rec_sport_baseball_0028,2,6,rec.sport.baseball,test
test_rec_sport_baseball_0068,6,0,rec.sport.baseball,test
test_rec_sport_baseball_0092,5,7,rec.sport.baseball,test
test_rec_sport_baseball_0130,5,4,rec.sport.baseball,test
test_rec_sport_baseball_0211,7,2,rec.sport.baseball,test
test_rec_sport_baseball_0213,0,7,rec.sport.baseball,test
test_rec_sport_baseball_0228,7,1,rec.sport.baseball,test
test_rec_sport_baseball_0231,4,1,rec.sport.baseball,test
test_rec_sport_baseball_0300,2,5,rec.sport.baseball,test
test_rec_sport_baseball_0322,1,6,rec.sport.baseball,test
test_sci_med_0016,7,8,sci.med,test
test_sci_med_0051,3,7,sci.med,test
test_sci_med_0067,6,7,sci.med,test
test_sci_med_0068,6,9,sci.med,test
test_sci_med_0164,7,6,sci.med,test
test_sci_med_0174,5,8,sci.med,test
test_sci_med_0207,5,3,sci.med,test
test_sci_med_0222,8,7,sci.med,test
test_sci_med_0243,8,8,sci.med,test
test_sci_med_0252,8,6,sci.med,test
test_sci_space_0141,4,9,sci.space,test
test_sci_space_0151,0,6,sci.space,test
test_sci_space_0180,1,3,sci.space,test
test_sci_space_0237,3,8,sci.space,test
test_sci_space_0261,9,6,sci.space,test
test_sci_space_0296,3,0,sci.space,test
test_sci_space_0310,1,2,sci.space,test
test_sci_space_0351,1,9,sci.space,test
test_sci_space_0368,3,6,sci.space,test
test_sci_space_0371,9,8,sci.space,test
test_talk_politics_misc_0012,7,5,talk.politics.misc,test
test_talk_politics_misc_0037,4,3,talk.politics.misc,test
test_talk_politics_misc_0121,8,5,talk.politics.misc,test
test_talk_politics_misc_0163,0,9,talk.politics.misc,test
test_talk_politics_misc_0165,2,4,talk.politics.misc,test
test_talk_politics_misc_0174,6,6,talk.politics.misc,test
test_talk_politics_misc_0175,3,5,talk.politics.misc,test
test_talk_politics_misc_0226,6,5,talk.politics.misc,test
test_talk_politics_misc_0268,7,3,talk.politics.misc,test
test_talk_politics_misc_0288,0,8,talk.politics.misc,test
