doc_id,x,y,category_name,subset
train_comp_graphics_0151,-10.591465,4.192901,comp.graphics,train
train_comp_graphics_0176,-12.482723,2.8312602,comp.graphics,train
train_comp_graphics_0232,-9.805966,0.17582385,comp.graphics,train
train_comp_graphics_0280,-13.027633,7.218105,comp.graphics,train
train_comp_graphics_0344,-12.188966,6.012762,comp.graphics,train
train_comp_graphics_0371,-8.471861,1.9161298,comp.graphics,train
train_comp_graphics_0506,-9.790797,8.521066,comp.graphics,train
train_comp_graphics_0565,-6.712199,2.4831192,comp.graphics,train
train_comp_graphics_0567,-11.735753,3.4503012,comp.graphics,train
train_comp_graphics_0577,-8.897099,1.0138526,comp.graphics,train
train_rec_sport_baseball_0184,13.5672035,2.454008,rec.sport.baseball,train
train_rec_sport_baseball_0225,12.267012,1.5036304,rec.sport.baseball,train
train_rec_sport_baseball_0282,10.392039,2.7313,rec.sport.baseball,train
train_rec_sport_baseball_0368,11.41534,4.574438,rec.sport.baseball,train
train_rec_sport_baseball_0472,11.483134,2.4572906,rec.sport.baseball,train
train_rec_sport_baseball_0518,7.625597,5.746959,rec.sport.baseball,train
train_rec_sport_baseball_0520,9.470389,4.2642584,rec.sport.baseball,train
train_rec_sport_baseball_0556,12.219055,-0.34113792,rec.sport.baseball,train
train_rec_sport_baseball_0588,7.3161907,2.7484212,rec.sport.baseball,train
train_rec_sport_baseball_0593,14.20183,1.1775714,rec.sport.baseball,train
train_sci_med_0084,-2.8799443,-12.195323,sci.med,train
train_sci_med_0097,-1.1929301,-11.14832,sci.med,train
train_sci_med_0191,1.1977159,-12.729245,sci.med,train
train_sci_med_0192,-0.1477286,-9.836819,sci.med,train
train_sci_med_0216,2.9165683,-13.164961,sci.med,train
train_sci_med_0229,5.6873536,-12.545376,sci.med,train
train_sci_med_0271,-1.2884556,-13.756991,sci.med,train
train_sci_med_0395,-2.8013604,-10.123692,sci.med,train
train_sci_med_0402,-2.7931461,-5.1835113,sci.med,train
train_sci_med_0563,1.7215642,-12.464399,sci.med,train
train_sci_space_0007,-3.237394,1.4349118,sci.space,train
train_sci_space_0087,-0.7563096,0.97245616,sci.space,train
train_sci_space_0133,-2.088654,-0.018235082,sci.space,train
train_sci_space_0314,-3.732532,4.6766024,sci.space,train
train_sci_space_0336,-3.980437,-2.1936684,sci.space,train
train_sci_space_0347,-2.9495783,-2.2432976,sci.space,train
train_sci_space_0440,3.6132002,6.088975,sci.space,train
train_sci_space_0493,-5.2580934,-1.2951308,sci.space,train
train_sci_space_0570,-0.5725754,1.3348256,sci.space,train
train_sci_space_0592,-4.5118055,-0.2735046,sci.space,train
train_talk_politics_misc_0062,8.430887,-4.8558483,talk.politics.misc,train
train_talk_politics_misc_0063,6.6026144,-6.8846393,talk.politics.misc,train
train_talk_politics_misc_0154,4.012653,-1.4844716,talk.politics.misc,train
train_talk_politics_misc_0194,0.9937394,-4.054507,talk.politics.misc,train
train_talk_politics_misc_0195,5.920893,-0.8837654,talk.politics.misc,train
train_talk_politics_misc_0337,0.7894764,-2.048786,talk.politics.misc,train
train_talk_politics_misc_0372,6.086084,-3.7986543,talk.politics.misc,train
train_talk_politics_misc_0388,3.4397528,0.40165514,talk.politics.misc,train
train_talk_politics_misc_0425,8.426227,-2.402102,talk.politics.misc,train
train_talk_politics_misc_0464,6.864906,-3.766595,talk.politics.misc,train
test_comp_graphics_0028,-7.170268,2.2644613,comp.graphics,test
test_comp_graphics_0045,-7.585933,8.0821,comp.graphics,test
test_comp_graphics_0130,-6.3055506,5.8599696,comp.graphics,test
