doc_id,text,category_name,subset
train_comp_graphics_0151,"I am working on a program to display 3d wireframe models with the user
being able to arbitrarily change any of the viewing parameters.  Also,
the wireframe objects are also going to have dynamic attributes so
that they can move around while the user is ""exploring"" the wireframe
world.

To do this, I am thinking of using the SRGP package described in the
Van Dam, Foley and Feiner book, but I was wondering if there was
another PD graphics package out there which was faster.  I would like
to make the program as fast as possible so that it provides
satisfactory real time performance on a Sun IPX.

Ideally, I'm looking for a PD graphics package which will allow me to
open a new window under X, and allow me to draw lines within the
window.  Also, it would also need to have some sort of event driven
interaction handling since the user is going to move around the
wireframe models using the keyboard.

If you know or wrote such a package, I would be grateful if you could
direct me to a ftp site which contains the package.

Thank you.",comp.graphics,train
train_comp_graphics_0176,"I sure did use version 3.2. It works fine with most software but NOT
with Animator Pro and that one is quite important to me. Pretty
useless program without that thing working IMHO.
So I hope the author can fix that.

/Daniel..",comp.graphics,train
train_comp_graphics_0232,"I aparantly mistyped the address for the ftp site which holds the images. The
correct address should be:

jupiter.csd.unb.ca
^^
rather than jupiter.csd.unb.edu.  They are in the directory:

\pub\library.info",comp.graphics,train
train_comp_graphics_0280,"Hi,

I have a problem, I hope some of the 'gurus' can help me solve.

Background of the problem:
I have a rectangular mesh in the uv domain, i.e  the mesh is a
mapping of a 3d Bezier patch into 2d. The area in this domain
which is inside a trimming loop had to be rendered. The trimming
loop is a set of 2d Bezier curve segments.
For the sake of notation: the mesh is made up of cells.

My problem is this :
The trimming area has to be split up into individual smaller
cells bounded by the trimming curve segments. If a cell
is wholly inside the area..then it is output as a whole ,
else it is trivially rejected.

Does any body know how thiss can be done, or is there any algo.
somewhere for doing this.

Any help would be appreciated.

Thanks,
Ani.",comp.graphics,train
train_comp_graphics_0344,"I think one (not ideal) solution is to use the
tracing utility (can't remember the name, sorry!)
included in the Corel Draw s/w pack.  It can convert
bitmaps to Corel art format.  These can then be
imported into a drawing rather than the bitmap.
Result - the file is completely in Corel format and
can be SCODAL'ed no problem!

BUT the slight problem with this, which makes the
solution less than idea, is that the trace utility
spits out many more points than are necessary to
define the shapes being traced.  Straight lines and
curves are both traced as many short segments.

So.. the SCODAL taking *much* longer to
image.

The obvious solution is time-consuming - stripping
out the extra points by hand using Corel.

OUCH!
I've done it a few times :-]

^^^^^^^^^^^^^^^^

As I say, if you don't mind the problems, go via the route..
BITMAP -> COREL (VIA TRACE) ->
HAND TRIMMING (USING COREL)!! ->
COMBINE WITH MAIN COREL PIC (VIA IMPORT) -> SCODAL",comp.graphics,train
train_comp_graphics_0371,"Please note that there are some radiosity packages in my Resource Listing
(under the Subject 3: FTP list)

Greetings,
Nick.
--
Nick (Nikolaos) Fotis         National Technical Univ. of Athens, Greece
HOME: 16 Esperidon St.,       InterNet :
Halandri, GR - 152 32   UUCP:    mcsun!ariadne!theseas!nfotis
Athens, GREECE          FAX: (+30 1) 77 84 578

USENET Editor of comp.graphics Resource Listing and soc.culture.greece FAQ
NTUA/UA ACM Student Chapter Chair - we're organizing a small conference
in Comp. Graphics, call if you're interested to participate.",comp.graphics,train
train_comp_graphics_0506,"Hi,

I've noticed that if you only save a model (with all your mapping planes
positioned carefully) to a .3DS file that when you reload it after restarting
3DS, they are given a default position and orientation.  But if you save
to a .PRJ file their positions/orientation are preserved.  Does anyone
know why this information is not stored in the .3DS file?  Nothing is
explicitly said in the manual about saving texture rules in the .PRJ file.
I'd like to be able to read the texture rule information, does anyone have
the format for the .PRJ file?

Is the .CEL file format available from somewhere?

Rych",comp.graphics,train
train_comp_graphics_0565,"This sounds wonderful, but it seems no one either wants to spend time doing
this, or they don't have the power to do so.  For example, I would like
to see a comp.graphics architecture like this:

comp.graphics.algorithms.2d
comp.graphics.algorithms.3d
comp.graphics.algorithms.misc
comp.graphics.hardware
comp.graphics.misc
comp.graphics.software/apps

However, that is almost overkill.  Something more like this would probably
make EVERYONE a lot happier:

comp.graphics.programmer
comp.graphics.hardware
comp.graphics.apps
comp.graphics.misc

It would be nice to see specialized groups devote to 2d, 3d, morphing,
raytracing, image processing, interactive graphics, toolkits, languages,
object systems, etc. but these could be posted to a relevant group or
have a mailing list organized.

That way when someone reads news they don't have to see these subject
headings, which are rather disparate:

System specific stuff ( should be under comp.sys or comp.os.??.programmer ):

""Need help programming GL""
""ModeX programming information?""
""Fast sprites on PC""

Hardware technical stuff:

""Speed of Weitek P9000""
""Drivers for SpeedStar 24X""

Applications oriented stuff:

""VistaPro 3.0 help""
""How good is 3dStudio?""
""Best image processing program for Amiga""

Programming oriented stuff:

""Fast polygon routine needed""
""Good morphing alogirhtm wanted""
""Best depth sort for triangles?""
""Which C++ library to get?""

I wish someone with the power would get a CFD and then a CFV going on
this stuff..this newsgroup needs it.",comp.graphics,train
train_comp_graphics_0567,"Does anyone know of any good shareware animation or paint software for an SGI
machine?  I've exhausted everyplace on the net I can find and still don't hava
a nice piece of software.

Thanks alot!

Chad",comp.graphics,train
train_comp_graphics_0577,"Are you using the traditional radiosity method, progressive refinement, or
something else in your package?

If you need to project patches on the hemi-cube surfaces, what technique are
you using?  Do you have hardware to facilitate the projection?

What are the guest username and password for this ftp site?

Thanks, Stephan.",comp.graphics,train
train_rec_sport_baseball_0184,"KC(?) news was doing a report on that.  They said that McRae is
really a batting coach and not a manager.  But for some reason
he took the job.  Whatever the reason, the Royals need a new
manager now..while it is too late.",rec.sport.baseball,train
train_rec_sport_baseball_0225,"[Deletions]

Geez, Dal must have slipped something into Ted's drink sometime.  Comparing
Prince to Pagnozzi offensively is laughable.  Prince has never hit well in
the minors and he's now 27 years old, I think.  Pagnozzi was not a bad hitter
in the minors.  (I'll bring in the numbers tomorrow assuming I don't have
another brain cramp and forget.)  He had a very good year at Louisville
before coming up to the majors.  As I recall, the hype on Pagnozzi coming up
in the organization was good hit, decent fielding.  When he got to the
majors and didn't hit as well as expected (not as much playing time?), he
became Exhibit 312 in Nichols' Law of Catcher Defense and got the reputation
as an outstanding defensive catcher.  It's not clear he ever learned to
hit.  His four years with more than 100 AB--

Born 31 July 1962
Year     AB      BA     SLG     OBA
1988    195    .282    .320    .328
1990    220    .277    .373    .321
1991    459    .264    .351    .317
1992    485    .249    .359    .290

No power, less-than-league-average walks, peak year when he turned 28,
now declining.  If Ted is going to invoke Pagnozzi as a model for Prince,
given that Prince has underperformed Pagnozzi in the minors, it's not
a rosy picture.

BTW, I'm still unhappy with moving Zeile, who had the same reputation
coming up in the Cardinal organization as Pagnozzi, except that he was
a much, much better hitter, to 3rd where he could be an average hitter
and a below average fielder instead of a well-above average hitter
as an average (or below average) fielding catcher.

Harold",rec.sport.baseball,train
train_rec_sport_baseball_0282,"Do you really have *that* much information on him?  Really?

I don't know.  You tell me.  What percentage of players reach or
exceed their MLE's *in their rookie season*?  We're talking about
1993, you know.

If that were your purpose, maybe.  Offerman spent 1992 getting
acclimated, if you will.  The Dodgers as a team paid a big price
that season.  Perhaps they will reap the benefits down the road.
Do you really think they would have done what they did if they
were competing for a pennant?

For a stat-head, I'm amazed that you put any credence in spring
training.  Did you notice who he got those 10 (!) hits off of, or
are you going to tell me that it doesn't make a difference?

Wait a minute.  I missed something here.  First, forget Keith
Mitchell.  Are you saying that a kid who moves from AA to AAA
and then does not improve would have been better off making a
direct leap to the majors?  If a player does well at AA and then
does not improve at AAA, isn't that a sign that maybe he doesn't
belong in the bigs?

Now, Keith Mitchell.  As I recall (no stat books handy - surprise!)
he jumped from AA to Atlanta in 1991.  He did so well that he was
returned to the minors, where he didn't do very well at all.  Now
his career is in jeopardy.  So how does he fit in with your
point.  Good MLE's in AA.  Moved him right to the big club.  Now
he's one step away from being traded or moved out of baseball.
Duh.

Well, I've cast my lot.  Certainly you may understand better how
good Lopez is.  And I may overvalue experience.  But neither one
of us runs a baseball team.

--	The Beastmaster",rec.sport.baseball,train
train_rec_sport_baseball_0368,"are you serious? pitchers are pinch-hit for in the nl.  they are not in the
nl.  if a pitcher is cranking in the al, he will stay in the game.  if he
is cranking in the nl, he may not - ESPECIALLY if it's a pitchers' duel,
and his team needs an extra run.",rec.sport.baseball,train
train_rec_sport_baseball_0472,"Add Mike Trombley in there somewhere, since they need five people.  Mark
Guthrie will remain in the bullpen as the long lefty.

Pags and Terry Jorgenson will platoon at third, with Reboulet as the
backup infielder.  Pags looked pretty miserable yesterday for a guy who
lead the league in DA in 1991, muffing what should be routine grounders
(heck, muffing a grounder *I* would probably have gotten to).  Jorgenson
did nothing exceptional that I noticed.  Leius missed a ball I *think*
Gagne would have reached; we will certainly miss Gag's glove this season.

He looked pretty good there.  Contrary to what the mediots have been saying,
he looked reasonable at first.  He isn't mid-80s Hrbek, but then neither is
the Pretty Big Guy himself any more (note:  I'm used to seeing the Twins
1B looking kinda big on the field, but not that big!).  If he hits vaguely
like last year, he's a perfectly good first baseman.

Note:  Much of this posting is from personal observation yesterday in a game
where the regulars were mostly pulled after several innings.  Winfield may
have big holes in his defensive game that didn't show up (he didn't have to
pick any bad throws, for example), but I'll take what I saw so far.",rec.sport.baseball,train
train_rec_sport_baseball_0518,"Well, after suffering from an intense fit of Minnesota-induced cabin fever,
I've decided to road trip to Milwaukee and take in a couple of games this
weekend. A couple games at County stadium will be great to relieve tension,
but I thought ""Why not go to Wrigley for a game too?""

I see the Cubs are playing the Phillies on Sat (2:05 start, I believe
that's Eastern time listed). I figured it would be fun to bounce down to
Wrigley for the day game and live it up a little. I'm wondering if anyone
(esp. Cubbie fans) have some advice on:

1) If I'm taking 41 (Skokie Hwy) south until it runs into 94, what's the
best way to get to Wrigley? I'm planning on getting there an hour or
two early and paying through the nose for parking to keep things easy.

2) Is it probable that I'll be able to walk up and get bleacher seats (2 or
3) on game day? I figure since it's early in the year, Ryno's out and
the weather isn't great I should be able to get tickets. If not, what's
the best way to get advance tickets; can I call the Cubs' ticket office
directly and pick up tickets at the will call window?

3) Any advice on where to eat before or after the game?

4) Do they allow inflatable I-luv-ewe dolls (present from Lundy) into the
bleachers? :-)",rec.sport.baseball,train
