doc_id,grid_row,grid_col,category_name,subset
train_comp_graphics_0151,3,2,comp.graphics,train
train_comp_graphics_0176,2,0,comp.graphics,train
train_comp_graphics_0232,0,0,comp.graphics,train
train_comp_graphics_0280,8,9,comp.graphics,train
train_comp_graphics_0344,9,0,comp.graphics,train
train_comp_graphics_0371,3,3,comp.graphics,train
train_comp_graphics_0506,7,3,comp.graphics,train
train_comp_graphics_0565,3,0,comp.graphics,train
train_comp_graphics_0567,2,1,comp.graphics,train
train_comp_graphics_0577,4,3,comp.graphics,train
train_rec_sport_baseball_0184,2,6,rec.sport.baseball,train
train_rec_sport_baseball_0225,5,5,rec.sport.baseball,train
train_rec_sport_baseball_0282,1,5,rec.sport.baseball,train
train_rec_sport_baseball_0368,6,1,rec.sport.baseball,train
train_rec_sport_baseball_0472,2,5,rec.sport.baseball,train
train_rec_sport_baseball_0518,7,2,rec.sport.baseball,train
train_rec_sport_baseball_0520,6,0,rec.sport.baseball,train
train_rec_sport_baseball_0556,0,9,rec.sport.baseball,train
train_rec_sport_baseball_0588,0,4,rec.sport.baseball,train
train_rec_sport_baseball_0593,1,8,rec.sport.baseball,train
train_sci_med_0084,7,9,sci.med,train
train_sci_med_0097,7,8,sci.med,train
train_sci_med_0191,5,8,sci.med,train
train_sci_med_0192,8,2,sci.med,train
train_sci_med_0216,2,8,sci.med,train
train_sci_med_0229,4,5,sci.med,train
train_sci_med_0271,6,9,sci.med,train
train_sci_med_0395,6,8,sci.med,train
train_sci_med_0402,2,9,sci.med,train
train_sci_med_0563,5,9,sci.med,train
train_sci_space_0007,4,6,sci.space,train
train_sci_space_0087,5,6,sci.space,train
train_sci_space_0133,3,5,sci.space,train
train_sci_space_0314,1,7,sci.space,train
train_sci_space_0336,0,8,sci.space,train
train_sci_space_0347,0,7,sci.space,train
train_sci_space_0440,7,0,sci.space,train
train_sci_space_0493,2,7,sci.space,train
train_sci_space_0570,6,4,sci.space,train
train_sci_space_0592,3,9,sci.space,train
train_talk_politics_misc_0062,2,2,talk.politics.misc,train
train_talk_politics_misc_0063,1,4,talk.politics.misc,train
train_talk_politics_misc_0154,8,4,talk.politics.misc,train
train_talk_politics_misc_0194,8,0,talk.politics.misc,train
train_talk_politics_misc_0195,4,7,talk.politics.misc,train
train_talk_politics_misc_0337,7,4,talk.politics.misc,train
train_talk_politics_misc_0372,0,1,talk.politics.misc,train
train_talk_politics_misc_0388,9,7,talk.politics.misc,train
train_talk_politics_misc_0425,4,0,talk.politics.misc,train
train_talk_politics_misc_0464,6,3,talk.politics.misc,train
test_comp_graphics_0028,4,4,comp.graphics,test
test_comp_graphics_0045,8,7,comp.graphics,test
test_comp_graphics_0130,4,2,comp.graphics,test
test_comp_graphics_0133,7,5,comp.graphics,test
test_comp_graphics_0144,8,3,comp.graphics,test
test_comp_graphics_0202,9,6,comp.graphics,test
test_comp_graphics_0205,6,6,comp.graphics,test
test_comp_graphics_0251,9,3,comp.graphics,test
test_comp_graphics_0371,2,3,comp.graphics,test
test_comp_graphics_0387,9,2,comp.graphics,test
test_rec_sport_baseball_0028,0,3,rec.sport.baseball,test
test_rec_sport_baseball_0068,8,1,rec.sport.baseball,test
test_rec_sport_baseball_0092,4,8,rec.sport.baseball,test
test_rec_sport_baseball_0130,3,1,rec.sport.baseball,test
test_rec_sport_baseball_0211,6,2,rec.sport.baseball,test
test_rec_sport_baseball_0213,0,2,rec.sport.baseball,test
test_rec_sport_baseball_0228,5,1,rec.sport.baseball,test
test_rec_sport_baseball_0231,5,2,rec.sport.baseball,test
test_rec_sport_baseball_0300,2,4,rec.sport.baseball,test
test_rec_sport_baseball_0322,1,2,rec.sport.baseball,test
test_sci_med_0016,7,7,sci.med,test
test_sci_med_0051,3,6,sci.med,test
test_sci_med_0067,6,7,sci.med,test
test_sci_med_0068,7,6,sci.med,test
test_sci_med_0164,9,8,sci.med,test
test_sci_med_0174,3,4,sci.med,test
test_sci_med_0207,9,9,sci.med,test
test_sci_med_0222,8,8,sci.med,test
test_sci_med_0243,6,5,sci.med,test
test_sci_med_0252,5,4,sci.med,test
test_sci_space_0141,4,9,sci.space,test
test_sci_space_0151,0,6,sci.space,test
test_sci_space_0180,4,1,sci.space,test
test_sci_space_0237,1,1,sci.space,test
test_sci_space_0261,8,5,sci.space,test
test_sci_space_0296,5,0,sci.space,test
test_sci_space_0310,3,8,sci.space,test
test_sci_space_0351,1,0,sci.space,test
test_sci_space_0368,3,7,sci.space,test
test_sci_space_0371,1,9,sci.space,test
test_talk_politics_misc_0012,9,5,talk.politics.misc,test
test_talk_politics_misc_0037,9,1,talk.politics.misc,test
test_talk_politics_misc_0121,9,4,talk.politics.misc,test
test_talk_politics_misc_0163,5,7,talk.politics.misc,test
test_talk_politics_misc_0165,1,3,talk.politics.misc,test
test_talk_politics_misc_0174,7,1,talk.politics.misc,test
test_talk_politics_misc_0175,0,5,talk.politics.misc,test
test_talk_politics_misc_0226,5,3,talk.politics.misc,test
test_talk_politics_misc_0268,8,6,talk.politics.misc,test
test_talk_politics_misc_0288,1,6,talk.politics.misc,test
