iteration,cost
0,309.38073250078025
1,292.14891201069264
2,290.8615070065229
3,290.3603299280582
4,286.06070359779585
5,286.06070359779585
6,284.9464890000087
7,284.91508207495
8,284.91508207495
9,284.91508207495
10,281.9860404769605
11,281.4428753444882
12,279.09188294335917
13,278.55843957128707
14,276.27860602416365
15,276.27860602416365
16,276.27860602416365
17,274.36374550544053
18,272.9200565514905
19,272.9200565514905
20,272.9200565514905
21,272.0622496363242
22,272.0622496363242
23,271.83466829488935
24,271.83466829488935
25,269.8397799441045
26,269.6168615734081
27,269.597361151625
28,266.440920038301
29,265.63002974706063
30,265.09941685158446
31,264.7712999836729
32,263.6360620048068
33,263.6360620048068
34,263.6360620048068
35,261.56532524068393
36,261.56532524068393
37,261.56532524068393
38,261.56532524068393
