doc_id,grid_row,grid_col,category_name,subset
train_comp_graphics_0151,4,3,comp.graphics,train
train_comp_graphics_0176,2,1,comp.graphics,train
train_comp_graphics_0232,0,0,comp.graphics,train
train_comp_graphics_0280,9,0,comp.graphics,train
train_comp_graphics_0344,7,1,comp.graphics,train
train_comp_graphics_0371,3,3,comp.graphics,train
train_comp_graphics_0506,9,2,comp.graphics,train
train_comp_graphics_0565,4,5,comp.graphics,train
train_comp_graphics_0567,2,0,comp.graphics,train
train_comp_graphics_0577,3,2,comp.graphics,train
train_rec_sport_baseball_0184,5,2,rec.sport.baseball,train
train_rec_sport_baseball_0225,5,1,rec.sport.baseball,train
train_rec_sport_baseball_0282,2,4,rec.sport.baseball,train
train_rec_sport_baseball_0368,6,1,rec.sport.baseball,train
train_rec_sport_baseball_0472,2,5,rec.sport.baseball,train
train_rec_sport_baseball_0518,6,0,rec.sport.baseball,train
train_rec_sport_baseball_0520,7,2,rec.sport.baseball,train
train_rec_sport_baseball_0556,0,9,rec.sport.baseball,train
train_rec_sport_baseball_0588,0,4,rec.sport.baseball,train
train_rec_sport_baseball_0593,4,0,rec.sport.baseball,train
train_sci_med_0084,7,9,sci.med,train
train_sci_med_0097,7,8,sci.med,train
train_sci_med_0191,5,8,sci.med,train
train_sci_med_0192,5,7,sci.med,train
train_sci_med_0216,2,8,sci.med,train
train_sci_med_0229,3,6,sci.med,train
train_sci_med_0271,6,9,sci.med,train
train_sci_med_0395,6,8,sci.med,train
train_sci_med_0402,2,9,sci.med,train
train_sci_med_0563,5,9,sci.med,train
train_sci_space_0007,2,2,sci.space,train
train_sci_space_0087,5,6,sci.space,train
train_sci_space_0133,3,5,sci.space,train
train_sci_space_0314,1,7,sci.space,train
train_sci_space_0336,0,8,sci.space,train
train_sci_space_0347,0,7,sci.space,train
train_sci_space_0440,7,0,sci.space,train
train_sci_space_0493,2,7,sci.space,train
train_sci_space_0570,6,4,sci.space,train
train_sci_space_0592,3,9,sci.space,train
train_talk_politics_misc_0062,1,2,talk.politics.misc,train
train_talk_politics_misc_0063,0,3,talk.politics.misc,train
train_talk_politics_misc_0154,8,4,talk.politics.misc,train
train_talk_politics_misc_0194,8,0,talk.politics.misc,train
train_talk_politics_misc_0195,4,7,talk.politics.misc,train
train_talk_politics_misc_0337,1,0,talk.politics.misc,train
train_talk_politics_misc_0372,5,3,talk.politics.misc,train
train_talk_politics_misc_0388,9,7,talk.politics.misc,train
train_talk_politics_misc_0425,6,3,talk.politics.misc,train
train_talk_politics_misc_0464,7,4,talk.politics.misc,train
test_comp_graphics_0028,4,4,comp.graphics,test
test_comp_graphics_0045,7,5,comp.graphics,test
test_comp_graphics_0130,4,2,comp.graphics,test
test_comp_graphics_0133,8,7,comp.graphics,test
test_comp_graphics_0144,8,3,comp.graphics,test
test_comp_graphics_0202,9,6,comp.graphics,test
test_comp_graphics_0205,0,6,comp.graphics,test
test_comp_graphics_0251,9,3,comp.graphics,test
test_comp_graphics_0371,2,3,comp.graphics,test
test_comp_graphics_0387,7,3,comp.graphics,test
test_rec_sport_baseball_0028,1,3,rec.sport.baseball,test
test_rec_sport_baseball_0068,8,1,rec.sport.baseball,test
test_rec_sport_baseball_0092,4,8,rec.sport.baseball,test
test_rec_sport_baseball_0130,3,0,rec.sport.baseball,test
test_rec_sport_baseball_0211,8,9,rec.sport.baseball,test
test_rec_sport_baseball_0213,0,2,rec.sport.baseball,test
test_rec_sport_baseball_0228,6,2,rec.sport.baseball,test
test_rec_sport_baseball_0231,3,1,rec.sport.baseball,test
test_rec_sport_baseball_0300,1,5,rec.sport.baseball,test
test_rec_sport_baseball_0322,1,6,rec.sport.baseball,test
test_sci_med_0016,7,7,sci.med,test
test_sci_med_0051,3,7,sci.med,test
test_sci_med_0067,7,6,sci.med,test
test_sci_med_0068,6,7,sci.med,test
test_sci_med_0164,9,9,sci.med,test
test_sci_med_0174,3,4,sci.med,test
test_sci_med_0207,9,8,sci.med,test
test_sci_med_0222,8,8,sci.med,test
test_sci_med_0243,5,5,sci.med,test
test_sci_med_0252,5,4,sci.med,test
test_sci_space_0141,4,9,sci.space,test
test_sci_space_0151,1,8,sci.space,test
test_sci_space_0180,4,1,sci.space,test
test_sci_space_0237,1,1,sci.space,test
test_sci_space_0261,8,5,sci.space,test
test_sci_space_0296,5,0,sci.space,test
test_sci_space_0310,3,8,sci.space,test
test_sci_space_0351,0,1,sci.space,test
test_sci_space_0368,4,6,sci.space,test
test_sci_space_0371,1,9,sci.space,test
test_talk_politics_misc_0012,9,5,talk.politics.misc,test
test_talk_politics_misc_0037,9,1,talk.politics.misc,test
test_talk_politics_misc_0121,9,4,talk.politics.misc,test
test_talk_politics_misc_0163,2,6,talk.politics.misc,test
test_talk_politics_misc_0165,8,2,talk.politics.misc,test
test_talk_politics_misc_0174,6,6,talk.politics.misc,test
test_talk_politics_misc_0175,0,5,talk.politics.misc,test
test_talk_politics_misc_0226,6,5,talk.politics.misc,test
test_talk_politics_misc_0268,8,6,talk.politics.misc,test
test_talk_politics_misc_0288,1,4,talk.politics.misc,test
