doc_id,grid_row,grid_col,category_name,subset
train_comp_graphics_0151,2,1,comp.graphics,train
train_comp_graphics_0176,4,1,comp.graphics,train
train_comp_graphics_0232,2,3,comp.graphics,train
train_comp_graphics_0280,9,7,comp.graphics,train
train_comp_graphics_0344,8,6,comp.graphics,train
train_comp_graphics_0371,2,2,comp.graphics,train
train_comp_graphics_0506,8,0,comp.graphics,train
train_comp_graphics_0565,1,1,comp.graphics,train
train_comp_graphics_0567,3,0,comp.graphics,train
train_comp_graphics_0577,1,2,comp.graphics,train
train_rec_sport_baseball_0184,4,5,rec.sport.baseball,train
train_rec_sport_baseball_0225,5,5,rec.sport.baseball,train
train_rec_sport_baseball_0282,4,2,rec.sport.baseball,train
train_rec_sport_baseball_0368,6,1,rec.sport.baseball,train
train_rec_sport_baseball_0472,6,2,rec.sport.baseball,train
train_rec_sport_baseball_0518,5,3,rec.sport.baseball,train
train_rec_sport_baseball_0520,5,1,rec.sport.baseball,train
train_rec_sport_baseball_0556,8,1,rec.sport.baseball,train
train_rec_sport_baseball_0588,0,2,rec.sport.baseball,train
train_rec_sport_baseball_0593,4,3,rec.sport.baseball,train
train_sci_med_0084,8,7,sci.med,train
train_sci_med_0097,7,8,sci.med,train
train_sci_med_0191,6,4,sci.med,train
train_sci_med_0192,6,7,sci.med,train
train_sci_med_0216,4,0,sci.med,train
train_sci_med_0229,7,2,sci.med,train
train_sci_med_0271,9,4,sci.med,train
train_sci_med_0395,6,8,sci.med,train
train_sci_med_0402,5,9,sci.med,train
train_sci_med_0563,4,4,sci.med,train
train_sci_space_0007,2,4,sci.space,train
train_sci_space_0087,1,7,sci.space,train
train_sci_space_0133,1,4,sci.space,train
train_sci_space_0314,1,3,sci.space,train
train_sci_space_0336,3,6,sci.space,train
train_sci_space_0347,2,5,sci.space,train
train_sci_space_0440,3,1,sci.space,train
train_sci_space_0493,2,6,sci.space,train
train_sci_space_0570,0,8,sci.space,train
train_sci_space_0592,2,8,sci.space,train
train_talk_politics_misc_0062,3,7,talk.politics.misc,train
train_talk_politics_misc_0063,4,6,talk.politics.misc,train
train_talk_politics_misc_0154,5,8,talk.politics.misc,train
train_talk_politics_misc_0194,0,0,talk.politics.misc,train
train_talk_politics_misc_0195,1,8,talk.politics.misc,train
train_talk_politics_misc_0337,0,1,talk.politics.misc,train
train_talk_politics_misc_0372,5,6,talk.politics.misc,train
train_talk_politics_misc_0388,9,9,talk.politics.misc,train
train_talk_politics_misc_0425,4,8,talk.politics.misc,train
train_talk_politics_misc_0464,4,7,talk.politics.misc,train
test_comp_graphics_0028,1,0,comp.graphics,test
test_comp_graphics_0045,9,1,comp.graphics,test
test_comp_graphics_0130,9,3,comp.graphics,test
test_comp_graphics_0133,7,4,comp.graphics,test
test_comp_graphics_0144,9,0,comp.graphics,test
test_comp_graphics_0202,8,3,comp.graphics,test
test_comp_graphics_0205,9,2,comp.graphics,test
test_comp_graphics_0251,8,5,comp.graphics,test
test_comp_graphics_0371,2,0,comp.graphics,test
test_comp_graphics_0387,8,4,comp.graphics,test
test_rec_sport_baseball_0028,1,5,rec.sport.baseball,test
test_rec_sport_baseball_0068,6,0,rec.sport.baseball,test
test_rec_sport_baseball_0092,6,3,rec.sport.baseball,test
test_rec_sport_baseball_0130,2,7,rec.sport.baseball,test
test_rec_sport_baseball_0211,7,0,rec.sport.baseball,test
test_rec_sport_baseball_0213,3,2,rec.sport.baseball,test
test_rec_sport_baseball_0228,5,2,rec.sport.baseball,test
test_rec_sport_baseball_0231,7,1,rec.sport.baseball,test
test_rec_sport_baseball_0300,3,3,rec.sport.baseball,test
test_rec_sport_baseball_0322,0,4,rec.sport.baseball,test
test_sci_med_0016,7,7,sci.med,test
test_sci_med_0051,8,2,sci.med,test
test_sci_med_0067,7,9,sci.med,test
test_sci_med_0068,6,9,sci.med,test
test_sci_med_0164,9,8,sci.med,test
test_sci_med_0174,7,5,sci.med,test
test_sci_med_0207,6,6,sci.med,test
test_sci_med_0222,9,6,sci.med,test
test_sci_med_0243,7,3,sci.med,test
test_sci_med_0252,5,4,sci.med,test
test_sci_space_0141,0,9,sci.space,test
test_sci_space_0151,1,6,sci.space,test
test_sci_space_0180,0,5,sci.space,test
test_sci_space_0237,0,3,sci.space,test
test_sci_space_0261,9,5,sci.space,test
test_sci_space_0296,0,6,sci.space,test
test_sci_space_0310,1,9,sci.space,test
test_sci_space_0351,3,4,sci.space,test
test_sci_space_0368,3,5,sci.space,test
test_sci_space_0371,4,9,sci.space,test
test_talk_politics_misc_0012,8,9,talk.politics.misc,test
test_talk_politics_misc_0037,6,5,talk.politics.misc,test
test_talk_politics_misc_0121,8,8,talk.politics.misc,test
test_talk_politics_misc_0163,3,9,talk.politics.misc,test
test_talk_politics_misc_0165,5,0,talk.politics.misc,test
test_talk_politics_misc_0174,0,7,talk.politics.misc,test
test_talk_politics_misc_0175,5,7,talk.politics.misc,test
test_talk_politics_misc_0226,2,9,talk.politics.misc,test
test_talk_politics_misc_0268,7,6,talk.politics.misc,test
test_talk_politics_misc_0288,3,8,talk.politics.misc,test
