iteration,cost
0,300.830533511796
1,275.4128736873413
2,275.4128736873413
3,264.95268985438514
4,264.7061334382501
5,263.75419363860755
6,261.88783144622937
7,261.88783144622937
8,253.02629282913847
9,253.02629282913847
10,252.06548125881832
11,250.490888828347
12,250.490888828347
13,250.3012597160882
14,249.22282497038157
15,249.22282497038157
16,249.22282497038157
17,249.13361366440648
18,249.13361366440648
19,246.07570481405784
20,246.07570481405784
21,244.66619165654322
22,244.62947836031827
23,244.62947836031827
24,244.50812710077005
25,244.50812710077005
26,244.50812710077005
27,244.34925259124137
28,244.32512789054294
29,243.99416469951623
30,241.58007572322205
31,241.58007572322205
32,241.58007572322205
33,241.42325178756715
34,241.0402988574715
35,241.0402988574715
36,240.7038611480146
37,240.64953487779974
38,240.64953487779974
39,240.17444637999657
40,240.17444637999657
41,240.17444637999657
42,239.44781433472406
43,239.44781433472406
44,239.39162772263998
45,238.32133962985918
46,238.32133962985918
47,236.87861685612057
48,236.84790882544567
49,236.84790882544567
50,236.62407477492835
51,235.70271769938736
52,235.70271769938736
53,235.51439698839528
54,235.51439698839528
55,235.3800347392861
56,235.3800347392861
57,235.0869552204133
58,235.0869552204133
59,234.8066057936827
60,234.8066057936827
61,234.52391530257205
62,234.52391530257205
63,234.52391530257205
64,234.52391530257205
