iteration,cost
0,626.6115763291534
1,601.9419083140341
2,598.8776785920018
3,597.1252520140861
4,596.6638940789077
5,596.6638940789077
6,592.6519751584179
7,592.1019617144085
8,592.1019617144085
9,592.1019617144085
10,590.1053863234611
11,589.3631802326124
12,587.8885347659174
13,583.7300069072186
14,583.7300069072186
15,581.7428263177674
16,581.7428263177674
17,581.1092424893517
18,579.8808665731465
19,579.8808665731465
20,579.2215869825238
21,574.4467623864255
22,573.9965945410755
23,572.7754133982504
24,572.7754133982504
25,572.04918190164
26,571.8253619716838
27,570.2298447885489
28,570.1950370478761
29,570.1950370478761
30,570.1950370478761
31,570.1950370478761
