doc_id,grid_row,grid_col,category_name,subset
train_comp_graphics_0151,7,3,comp.graphics,train
train_comp_graphics_0176,2,0,comp.graphics,train
train_comp_graphics_0232,1,3,comp.graphics,train
train_comp_graphics_0280,8,1,comp.graphics,train
train_comp_graphics_0344,8,2,comp.graphics,train
train_comp_graphics_0371,3,2,comp.graphics,train
train_comp_graphics_0506,9,4,comp.graphics,train
train_comp_graphics_0565,2,3,comp.graphics,train
train_comp_graphics_0567,3,1,comp.graphics,train
train_comp_graphics_0577,3,3,comp.graphics,train
train_rec_sport_baseball_0184,7,0,rec.sport.baseball,train
train_rec_sport_baseball_0225,6,0,rec.sport.baseball,train
train_rec_sport_baseball_0282,5,2,rec.sport.baseball,train
train_rec_sport_baseball_0368,6,1,rec.sport.baseball,train
train_rec_sport_baseball_0472,6,2,rec.sport.baseball,train
train_rec_sport_baseball_0518,4,2,rec.sport.baseball,train
train_rec_sport_baseball_0520,4,1,rec.sport.baseball,train
train_rec_sport_baseball_0556,3,0,rec.sport.baseball,train
train_rec_sport_baseball_0588,6,4,rec.sport.baseball,train
train_rec_sport_baseball_0593,8,0,rec.sport.baseball,train
train_sci_med_0084,8,8,sci.med,train
train_sci_med_0097,9,6,sci.med,train
train_sci_med_0191,7,7,sci.med,train
train_sci_med_0192,8,6,sci.med,train
train_sci_med_0216,6,6,sci.med,train
train_sci_med_0229,1,2,sci.med,train
train_sci_med_0271,9,8,sci.med,train
train_sci_med_0395,8,7,sci.med,train
train_sci_med_0402,0,3,sci.med,train
train_sci_med_0563,6,7,sci.med,train
train_sci_space_0007,1,1,sci.space,train
train_sci_space_0087,0,4,sci.space,train
train_sci_space_0133,1,4,sci.space,train
train_sci_space_0314,0,6,sci.space,train
train_sci_space_0336,3,5,sci.space,train
train_sci_space_0347,3,4,sci.space,train
train_sci_space_0440,4,0,sci.space,train
train_sci_space_0493,2,5,sci.space,train
train_sci_space_0570,0,5,sci.space,train
train_sci_space_0592,2,6,sci.space,train
train_talk_politics_misc_0062,4,6,talk.politics.misc,train
train_talk_politics_misc_0063,3,7,talk.politics.misc,train
train_talk_politics_misc_0154,5,8,talk.politics.misc,train
train_talk_politics_misc_0194,1,8,talk.politics.misc,train
train_talk_politics_misc_0195,4,4,talk.politics.misc,train
train_talk_politics_misc_0337,0,0,talk.politics.misc,train
train_talk_politics_misc_0372,4,7,talk.politics.misc,train
train_talk_politics_misc_0388,3,9,talk.politics.misc,train
train_talk_politics_misc_0425,5,6,talk.politics.misc,train
train_talk_politics_misc_0464,5,7,talk.politics.misc,train
test_comp_graphics_0028,2,2,comp.graphics,test
test_comp_graphics_0045,9,0,comp.graphics,test
test_comp_graphics_0130,9,2,comp.graphics,test
test_comp_graphics_0133,8,5,comp.graphics,test
test_comp_graphics_0144,9,3,comp.graphics,test
test_comp_graphics_0202,7,4,comp.graphics,test
test_comp_graphics_0205,9,1,comp.graphics,test
test_comp_graphics_0251,8,4,comp.graphics,test
test_comp_graphics_0371,2,1,comp.graphics,test
test_comp_graphics_0387,8,3,comp.graphics,test
test_rec_sport_baseball_0028,5,4,rec.sport.baseball,test
test_rec_sport_baseball_0068,5,0,rec.sport.baseball,test
test_rec_sport_baseball_0092,4,3,rec.sport.baseball,test
test_rec_sport_baseball_0130,5,5,rec.sport.baseball,test
test_rec_sport_baseball_0211,7,1,rec.sport.baseball,test
test_rec_sport_baseball_0213,5,3,rec.sport.baseball,test
test_rec_sport_baseball_0228,5,1,rec.sport.baseball,test
test_rec_sport_baseball_0231,7,2,rec.sport.baseball,test
test_rec_sport_baseball_0300,6,3,rec.sport.baseball,test
test_rec_sport_baseball_0322,6,5,rec.sport.baseball,test
test_sci_med_0016,7,8,sci.med,test
test_sci_med_0051,0,1,sci.med,test
test_sci_med_0067,6,8,sci.med,test
test_sci_med_0068,6,9,sci.med,test
test_sci_med_0164,8,9,sci.med,test
test_sci_med_0174,7,5,sci.med,test
test_sci_med_0207,9,9,sci.med,test
test_sci_med_0222,9,7,sci.med,test
test_sci_med_0243,9,5,sci.med,test
test_sci_med_0252,7,6,sci.med,test
test_sci_space_0141,0,9,sci.space,test
test_sci_space_0151,1,6,sci.space,test
test_sci_space_0180,2,7,sci.space,test
test_sci_space_0237,2,4,sci.space,test
test_sci_space_0261,5,9,sci.space,test
test_sci_space_0296,1,7,sci.space,test
test_sci_space_0310,0,7,sci.space,test
test_sci_space_0351,1,0,sci.space,test
test_sci_space_0368,1,5,sci.space,test
test_sci_space_0371,0,8,sci.space,test
test_talk_politics_misc_0012,4,9,talk.politics.misc,test
test_talk_politics_misc_0037,2,9,talk.politics.misc,test
test_talk_politics_misc_0121,7,9,talk.politics.misc,test
test_talk_politics_misc_0163,4,5,talk.politics.misc,test
test_talk_politics_misc_0165,0,2,talk.politics.misc,test
test_talk_politics_misc_0174,3,8,talk.politics.misc,test
test_talk_politics_misc_0175,2,8,talk.politics.misc,test
test_talk_politics_misc_0226,4,8,talk.politics.misc,test
test_talk_politics_misc_0268,1,9,talk.politics.misc,test
test_talk_politics_misc_0288,3,6,talk.politics.misc,test
