run_id,timestamp,methods_completed,docs_count,initial_cost,final_cost,improvement,run_path,variant_name,runtime_seconds
run_2026-03-11_02-26-49,2026-03-11_02-26-49,ACOM;PCA;t-SNE,100,300.830534,248.498138,True,archive/runs/run_2026-03-11_02-26-49,,
run_2026-03-11_02-44-06_acom_v1_baseline,2026-03-11_02-44-06,ACOM;PCA;t-SNE,100,300.830534,275.767268,True,archive/runs/run_2026-03-11_02-44-06_acom_v1_baseline,acom_v1_baseline,
run_2026-03-11_02-44-07_acom_v1_k10,2026-03-11_02-44-07,ACOM;PCA;t-SNE,100,309.380733,261.565325,True,archive/runs/run_2026-03-11_02-44-07_acom_v1_k10,acom_v1_k10,
run_2026-03-11_02-44-09_acom_v1_more_iters,2026-03-11_02-44-09,ACOM;PCA;t-SNE,100,300.830534,252.119488,True,archive/runs/run_2026-03-11_02-44-09_acom_v1_more_iters,acom_v1_more_iters,
run_2026-03-11_02-44-11_acom_v1_stronger_repulsion,2026-03-11_02-44-11,ACOM;PCA;t-SNE,100,382.638709,354.962566,True,archive/runs/run_2026-03-11_02-44-11_acom_v1_stronger_repulsion,acom_v1_stronger_repulsion,
run_2026-03-11_02-44-11_acom_v1_wider_swap_search,2026-03-11_02-44-11,ACOM;PCA;t-SNE,100,300.830534,234.523915,True,archive/runs/run_2026-03-11_02-44-11_acom_v1_wider_swap_search,acom_v1_wider_swap_search,
run_2026-03-11_02-44-15_acom_v1_radius2,2026-03-11_02-44-15,ACOM;PCA;t-SNE,100,626.611576,570.195037,True,archive/runs/run_2026-03-11_02-44-15_acom_v1_radius2,acom_v1_radius2,
run_2026-03-11_02-59-54_acom_v1_wider_swap_annealed,2026-03-11_02-59-54,ACOM;PCA;t-SNE,100,300.830534,213.015064,True,archive/runs/run_2026-03-11_02-59-54_acom_v1_wider_swap_annealed,acom_v1_wider_swap_annealed,
run_2026-03-11_03-23-20_acom_v1_wider_swap_annealed_scale50,2026-03-11_03-23-20,ACOM,50,126.862521,92.533044,True,archive/runs/run_2026-03-11_03-23-20_acom_v1_wider_swap_annealed_scale50,acom_v1_wider_swap_annealed_scale50,13.3635
run_2026-03-11_03-23-38_acom_v1_wider_swap_annealed_scale100,2026-03-11_03-23-38,ACOM,100,296.811194,214.950086,True,archive/runs/run_2026-03-11_03-23-38_acom_v1_wider_swap_annealed_scale100,acom_v1_wider_swap_annealed_scale100,15.1044
run_2026-03-11_03-23-57_acom_v1_wider_swap_annealed_scale150,2026-03-11_03-23-57,ACOM,150,415.038474,294.598967,True,archive/runs/run_2026-03-11_03-23-57_acom_v1_wider_swap_annealed_scale150,acom_v1_wider_swap_annealed_scale150,38.9926
run_2026-03-11_03-24-42_acom_v1_wider_swap_annealed_scale200,2026-03-11_03-24-42,ACOM,200,553.353633,408.516179,True,archive/runs/run_2026-03-11_03-24-42_acom_v1_wider_swap_annealed_scale200,acom_v1_wider_swap_annealed_scale200,36.0956
run_2026-03-15_01-51-38_acom_v1_baseline,2026-03-15_01-51-38,ACOM;PCA;t-SNE,100,300.830534,275.767268,True,archive/runs/run_2026-03-15_01-51-38_acom_v1_baseline,acom_v1_baseline,0.4703
run_2026-03-15_01-51-39_acom_v1_k10,2026-03-15_01-51-39,ACOM;PCA;t-SNE,100,309.380733,261.565325,True,archive/runs/run_2026-03-15_01-51-39_acom_v1_k10,acom_v1_k10,1.7989
run_2026-03-15_01-51-41_acom_v1_more_iters,2026-03-15_01-51-41,ACOM;PCA;t-SNE,100,300.830534,252.119488,True,archive/runs/run_2026-03-15_01-51-41_acom_v1_more_iters,acom_v1_more_iters,1.2992
run_2026-03-15_01-51-43_acom_v1_stronger_repulsion,2026-03-15_01-51-43,ACOM;PCA;t-SNE,100,382.638709,354.962566,True,archive/runs/run_2026-03-15_01-51-43_acom_v1_stronger_repulsion,acom_v1_stronger_repulsion,0.4755
run_2026-03-15_01-51-44_acom_v1_wider_swap_search,2026-03-15_01-51-44,ACOM;PCA;t-SNE,100,300.830534,234.523915,True,archive/runs/run_2026-03-15_01-51-44_acom_v1_wider_swap_search,acom_v1_wider_swap_search,3.1984
run_2026-03-15_01-51-47_acom_v1_radius2,2026-03-15_01-51-47,ACOM;PCA;t-SNE,100,626.611576,570.195037,True,archive/runs/run_2026-03-15_01-51-47_acom_v1_radius2,acom_v1_radius2,2.4731
run_2026-03-15_01-51-44_acom_v1_wider_swap_annealed_scale50,2026-03-15_01-51-44,ACOM,50,126.862521,92.533044,True,archive/runs/run_2026-03-15_01-51-44_acom_v1_wider_swap_annealed_scale50,acom_v1_wider_swap_annealed_scale50,13.3686
run_2026-03-15_01-52-01_acom_v1_wider_swap_annealed_scale100,2026-03-15_01-52-01,ACOM,100,296.811194,214.950086,True,archive/runs/run_2026-03-15_01-52-01_acom_v1_wider_swap_annealed_scale100,acom_v1_wider_swap_annealed_scale100,15.1116
run_2026-03-15_01-52-20_acom_v1_wider_swap_annealed_scale150,2026-03-15_01-52-20,ACOM,150,415.038474,294.598967,True,archive/runs/run_2026-03-15_01-52-20_acom_v1_wider_swap_annealed_scale150,acom_v1_wider_swap_annealed_scale150,39.2241
run_2026-03-15_01-53-04_acom_v1_wider_swap_annealed_scale200,2026-03-15_01-53-04,ACOM,200,553.353633,408.516179,True,archive/runs/run_2026-03-15_01-53-04_acom_v1_wider_swap_annealed_scale200,acom_v1_wider_swap_annealed_scale200,35.5981
